Time,PGN,SPN,Value
1385746875.659981,EEC1,61444,Engine Speed,0.000
1385746875.669992,EEC1,61444,Engine Speed,0.000
1385746875.680541,EEC1,61444,Engine Speed,0.000
1385746875.689993,EEC1,61444,Engine Speed,0.000
1385746875.699976,EEC1,61444,Engine Speed,0.000
1385746875.709991,EEC1,61444,Engine Speed,0.000
1385746875.719980,EEC1,61444,Engine Speed,0.000
1385746875.729991,EEC1,61444,Engine Speed,0.000
1385746875.739978,EEC1,61444,Engine Speed,0.000
1385746875.749991,EEC1,61444,Engine Speed,0.000
1385746875.759979,EEC1,61444,Engine Speed,0.000
1385746875.769989,EEC1,61444,Engine Speed,0.000
1385746875.780546,EEC1,61444,Engine Speed,0.000
1385746875.789998,EEC1,61444,Engine Speed,0.000
1385746875.800933,EEC1,61444,Engine Speed,0.000
1385746875.809989,EEC1,61444,Engine Speed,0.000
1385746875.819977,EEC1,61444,Engine Speed,0.000
1385746875.829987,EEC1,61444,Engine Speed,0.000
1385746875.840928,EEC1,61444,Engine Speed,0.000
1385746875.849988,EEC1,61444,Engine Speed,0.000
1385746875.859974,EEC1,61444,Engine Speed,0.000
1385746875.869986,EEC1,61444,Engine Speed,0.000
1385746875.880544,EEC1,61444,Engine Speed,0.000
1385746875.889986,EEC1,61444,Engine Speed,0.000
1385746875.899973,EEC1,61444,Engine Speed,0.000
1385746875.909986,EEC1,61444,Engine Speed,0.000
1385746875.920926,EEC1,61444,Engine Speed,0.000
1385746875.929985,EEC1,61444,Engine Speed,0.000
1385746875.939973,EEC1,61444,Engine Speed,0.000
1385746875.949986,EEC1,61444,Engine Speed,0.000
1385746875.959972,EEC1,61444,Engine Speed,0.000
1385746875.969989,EEC1,61444,Engine Speed,0.000
1385746875.980534,EEC1,61444,Engine Speed,0.000
1385746875.989984,EEC1,61444,Engine Speed,0.000
1385746876.000002,EEC1,61444,Engine Speed,0.000
1385746876.010335,EEC1,61444,Engine Speed,0.000
1385746876.020002,EEC1,61444,Engine Speed,0.000
1385746876.030017,EEC1,61444,Engine Speed,0.000
1385746876.040000,EEC1,61444,Engine Speed,0.000
1385746876.050012,EEC1,61444,Engine Speed,0.000
1385746876.059999,EEC1,61444,Engine Speed,0.000
1385746876.070010,EEC1,61444,Engine Speed,0.000
1385746876.080566,EEC1,61444,Engine Speed,0.000
1385746876.090010,EEC1,61444,Engine Speed,0.000
1385746876.099998,EEC1,61444,Engine Speed,0.000
1385746876.110009,EEC1,61444,Engine Speed,0.000
1385746876.120961,EEC1,61444,Engine Speed,0.000
1385746876.130012,EEC1,61444,Engine Speed,0.000
1385746876.139998,EEC1,61444,Engine Speed,0.000
1385746876.150008,EEC1,61444,Engine Speed,0.000
1385746876.159996,EEC1,61444,Engine Speed,0.000
1385746876.170008,EEC1,61444,Engine Speed,0.000
1385746876.180565,EEC1,61444,Engine Speed,0.000
1385746876.190007,EEC1,61444,Engine Speed,0.000
1385746876.199995,EEC1,61444,Engine Speed,0.000
1385746876.210012,EEC1,61444,Engine Speed,0.000
1385746876.220218,EEC1,61444,Engine Speed,0.000
1385746876.230010,EEC1,61444,Engine Speed,0.000
1385746876.239995,EEC1,61444,Engine Speed,0.000
1385746876.250010,EEC1,61444,Engine Speed,0.000
1385746876.259998,EEC1,61444,Engine Speed,0.000
1385746876.270005,EEC1,61444,Engine Speed,0.000
1385746876.280566,EEC1,61444,Engine Speed,0.000
1385746876.290005,EEC1,61444,Engine Speed,0.000
1385746876.300952,EEC1,61444,Engine Speed,0.000
1385746876.310003,EEC1,61444,Engine Speed,0.000
1385746876.319991,EEC1,61444,Engine Speed,0.000
1385746876.330003,EEC1,61444,Engine Speed,0.000
1385746876.339991,EEC1,61444,Engine Speed,0.000
1385746876.350003,EEC1,61444,Engine Speed,0.000
1385746876.359994,EEC1,61444,Engine Speed,0.000
1385746876.370002,EEC1,61444,Engine Speed,0.000
1385746876.380565,EEC1,61444,Engine Speed,0.000
1385746876.390002,EEC1,61444,Engine Speed,0.000
1385746876.399990,EEC1,61444,Engine Speed,0.000
1385746876.410000,EEC1,61444,Engine Speed,0.000
1385746876.419989,EEC1,61444,Engine Speed,0.000
1385746876.430001,EEC1,61444,Engine Speed,0.000
1385746876.439990,EEC1,61444,Engine Speed,0.000
1385746876.450000,EEC1,61444,Engine Speed,0.000
1385746876.459989,EEC1,61444,Engine Speed,0.000
1385746876.470000,EEC1,61444,Engine Speed,0.000
1385746876.480558,EEC1,61444,Engine Speed,0.000
1385746876.490003,EEC1,61444,Engine Speed,0.000
1385746876.499992,EEC1,61444,Engine Speed,0.000
1385746876.509997,EEC1,61444,Engine Speed,0.000
1385746876.519986,EEC1,61444,Engine Speed,0.000
1385746876.529999,EEC1,61444,Engine Speed,0.000
1385746876.539984,EEC1,61444,Engine Speed,0.000
1385746876.549997,EEC1,61444,Engine Speed,0.000
1385746876.559986,EEC1,61444,Engine Speed,0.000
1385746876.569998,EEC1,61444,Engine Speed,0.000
1385746876.581491,EEC1,61444,Engine Speed,0.000
1385746876.590939,EEC1,61444,Engine Speed,0.000
1385746876.599985,EEC1,61444,Engine Speed,0.000
1385746876.609995,EEC1,61444,Engine Speed,0.000
1385746876.620942,EEC1,61444,Engine Speed,0.000
1385746876.629993,EEC1,61444,Engine Speed,0.000
1385746876.640939,EEC1,61444,Engine Speed,0.000
1385746876.649992,EEC1,61444,Engine Speed,0.000
1385746876.660936,EEC1,61444,Engine Speed,0.000
1385746876.669994,EEC1,61444,Engine Speed,0.000
1385746876.680556,EEC1,61444,Engine Speed,0.000
1385746876.690003,EEC1,61444,Engine Speed,0.000
1385746876.700938,EEC1,61444,Engine Speed,0.000
1385746876.709994,EEC1,61444,Engine Speed,0.000
1385746876.719983,EEC1,61444,Engine Speed,0.000
1385746876.729994,EEC1,61444,Engine Speed,0.000
1385746876.740939,EEC1,61444,Engine Speed,0.000
1385746876.749994,EEC1,61444,Engine Speed,0.000
1385746876.760930,EEC1,61444,Engine Speed,0.000
1385746876.769993,EEC1,61444,Engine Speed,0.000
1385746876.779985,EEC1,61444,Engine Speed,0.000
1385746876.789993,EEC1,61444,Engine Speed,0.000
1385746876.799981,EEC1,61444,Engine Speed,0.000
1385746876.809991,EEC1,61444,Engine Speed,0.000
1385746876.819979,EEC1,61444,Engine Speed,0.000
1385746876.829991,EEC1,61444,Engine Speed,0.000
1385746876.839979,EEC1,61444,Engine Speed,0.000
1385746876.849991,EEC1,61444,Engine Speed,0.000
1385746876.859977,EEC1,61444,Engine Speed,0.000
1385746876.869989,EEC1,61444,Engine Speed,0.000
1385746876.879981,EEC1,61444,Engine Speed,0.000
1385746876.889989,EEC1,61444,Engine Speed,0.000
1385746876.899977,EEC1,61444,Engine Speed,0.000
1385746876.910932,EEC1,61444,Engine Speed,0.000
1385746876.919976,EEC1,61444,Engine Speed,0.000
1385746876.929988,EEC1,61444,Engine Speed,0.000
1385746876.940935,EEC1,61444,Engine Speed,0.000
1385746876.949989,EEC1,61444,Engine Speed,0.000
1385746876.959974,EEC1,61444,Engine Speed,0.000
1385746876.969988,EEC1,61444,Engine Speed,0.000
1385746876.979987,EEC1,61444,Engine Speed,0.000
1385746876.989988,EEC1,61444,Engine Speed,0.000
1385746877.000002,EEC1,61444,Engine Speed,0.000
1385746877.010328,EEC1,61444,Engine Speed,0.000
1385746877.019999,EEC1,61444,Engine Speed,0.000
1385746877.030954,EEC1,61444,Engine Speed,0.000
1385746877.039998,EEC1,61444,Engine Speed,0.000
1385746877.050011,EEC1,61444,Engine Speed,0.000
1385746877.059998,EEC1,61444,Engine Speed,0.000
1385746877.070011,EEC1,61444,Engine Speed,0.000
1385746877.080574,EEC1,61444,Engine Speed,0.000
1385746877.090009,EEC1,61444,Engine Speed,0.000
1385746877.099997,EEC1,61444,Engine Speed,0.000
1385746877.110007,EEC1,61444,Engine Speed,0.000
1385746877.119951,EEC1,61444,Engine Speed,0.000
1385746877.130007,EEC1,61444,Engine Speed,0.000
1385746877.139995,EEC1,61444,Engine Speed,0.000
1385746877.150951,EEC1,61444,Engine Speed,0.000
1385746877.159995,EEC1,61444,Engine Speed,0.000
1385746877.170006,EEC1,61444,Engine Speed,0.000
1385746877.180003,EEC1,61444,Engine Speed,0.000
1385746877.190005,EEC1,61444,Engine Speed,0.000
1385746877.199992,EEC1,61444,Engine Speed,0.000
1385746877.210950,EEC1,61444,Engine Speed,0.000
1385746877.220229,EEC1,61444,Engine Speed,0.000
1385746877.230004,EEC1,61444,Engine Speed,0.000
1385746877.239992,EEC1,61444,Engine Speed,0.000
1385746877.250005,EEC1,61444,Engine Speed,0.000
1385746877.259993,EEC1,61444,Engine Speed,0.000
1385746877.270948,EEC1,61444,Engine Speed,0.000
1385746877.280003,EEC1,61444,Engine Speed,0.000
1385746877.290006,EEC1,61444,Engine Speed,0.000
1385746877.301997,EEC1,61444,Engine Speed,0.000
1385746877.310003,EEC1,61444,Engine Speed,0.000
1385746877.319991,EEC1,61444,Engine Speed,0.000
1385746877.330006,EEC1,61444,Engine Speed,0.000
1385746877.339989,EEC1,61444,Engine Speed,0.000
1385746877.350004,EEC1,61444,Engine Speed,0.000
1385746877.359997,EEC1,61444,Engine Speed,0.000
1385746877.369999,EEC1,61444,Engine Speed,0.000
1385746877.380572,EEC1,61444,Engine Speed,0.000
1385746877.390004,EEC1,61444,Engine Speed,0.000
1385746877.399987,EEC1,61444,Engine Speed,0.000
1385746877.410002,EEC1,61444,Engine Speed,0.000
1385746877.419986,EEC1,61444,Engine Speed,0.000
1385746877.430003,EEC1,61444,Engine Speed,0.000
